"material_type","county","material_tons_generated_sum_of_all_streams"
"Plastic Trash Bags","Orange (Countywide)",33512.4724511161
"Plastic Grocery and Other Merchandise Bags","Orange (Countywide)",5225.34152072682
"Non-Bag Commercial and Industrial Packaging Film","Orange (Countywide)",11379.1229019121
"Film Products","Orange (Countywide)",618.855095417153
"Other Film - Other","Orange (Countywide)",38541.1234276317
"Durable Plastic Items - #2 and #5 Bulky Rigids","Orange (Countywide)",5442.58444697773
"Durable Plastic Items - Other","Orange (Countywide)",17983.4849476956
"Remainder / Composite Plastic","Orange (Countywide)",74319.8904374789
"PETE Plastic Containers","Placer (Countywide)",1377.64333990177
"HDPE Plastic Containers","Placer (Countywide)",921.965005411556
"Miscellaneous Plastic Containers","Placer (Countywide)",782.700665630978
"Plastic Trash Bags","Placer (Countywide)",3338.57529867997
"Plastic Grocery and Other Merchandise Bags","Placer (Countywide)",480.072768759391
"Non-Bag Commercial and Industrial Packaging Film","Placer (Countywide)",981.480956905594
"Film Products","Placer (Countywide)",71.9902993077094
"Other Film - Other","Placer (Countywide)",3721.69508886073
"Durable Plastic Items - #2 and #5 Bulky Rigids","Placer (Countywide)",475.047493488056
"Durable Plastic Items - Other","Placer (Countywide)",1750.79816317013
"Remainder / Composite Plastic","Placer (Countywide)",6898.38075601696
"PETE Plastic Containers","Plumas (Countywide)",58.8670716258001
"HDPE Plastic Containers","Plumas (Countywide)",36.1810585600667
"Miscellaneous Plastic Containers","Plumas (Countywide)",30.5415949789427
"Plastic Trash Bags","Plumas (Countywide)",120.979059362346
"Plastic Grocery and Other Merchandise Bags","Plumas (Countywide)",21.3563482617221
"Non-Bag Commercial and Industrial Packaging Film","Plumas (Countywide)",29.9071823060025
"Film Products","Plumas (Countywide)",3.90472609106147
"Other Film - Other","Plumas (Countywide)",130.72547127855
"Durable Plastic Items - #2 and #5 Bulky Rigids","Plumas (Countywide)",18.2048464516544
"Durable Plastic Items - Other","Plumas (Countywide)",61.5037880283889
"Remainder / Composite Plastic","Plumas (Countywide)",246.415524699443
"PETE Plastic Containers","Riverside (Countywide)",6609.22809929272
"HDPE Plastic Containers","Riverside (Countywide)",4126.81648532579
"Miscellaneous Plastic Containers","Riverside (Countywide)",3329.7559108013
"Plastic Trash Bags","Riverside (Countywide)",14020.0252958269
"Plastic Grocery and Other Merchandise Bags","Riverside (Countywide)",2376.98358268212
"Non-Bag Commercial and Industrial Packaging Film","Riverside (Countywide)",4087.969029782
"Film Products","Riverside (Countywide)",325.471545198751
"Other Film - Other","Riverside (Countywide)",15980.1269057962
"Durable Plastic Items - #2 and #5 Bulky Rigids","Riverside (Countywide)",2113.95319051279
"Durable Plastic Items - Other","Riverside (Countywide)",7375.18164281097
"Remainder / Composite Plastic","Riverside (Countywide)",28045.4012262595
"PETE Plastic Containers","Sacramento (Countywide)",5287.41942929611
"HDPE Plastic Containers","Sacramento (Countywide)",3631.17239284116
"Miscellaneous Plastic Containers","Sacramento (Countywide)",3114.95201755684
"Plastic Trash Bags","Sacramento (Countywide)",12322.800391397
"Plastic Grocery and Other Merchandise Bags","Sacramento (Countywide)",1958.58272581355
"Non-Bag Commercial and Industrial Packaging Film","Sacramento (Countywide)",3548.66424193978
"Film Products","Sacramento (Countywide)",239.147930545953
"Other Film - Other","Sacramento (Countywide)",13530.7819711662
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sacramento (Countywide)",2005.80407228806
"Durable Plastic Items - Other","Sacramento (Countywide)",6644.14298057237
"Remainder / Composite Plastic","Sacramento (Countywide)",25699.0568726435
"PETE Plastic Containers","San Benito (Countywide)",139.752948687999
"HDPE Plastic Containers","San Benito (Countywide)",80.0336677794254
"Miscellaneous Plastic Containers","San Benito (Countywide)",78.9598447317
"Plastic Trash Bags","San Benito (Countywide)",303.909704944105
"Plastic Grocery and Other Merchandise Bags","San Benito (Countywide)",42.1462543931145
"Non-Bag Commercial and Industrial Packaging Film","San Benito (Countywide)",163.963283180475
"Film Products","San Benito (Countywide)",24.525772171455
"Other Film - Other","San Benito (Countywide)",401.365667295804
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Benito (Countywide)",51.8466041571079
"Durable Plastic Items - Other","San Benito (Countywide)",151.496761510075
"Remainder / Composite Plastic","San Benito (Countywide)",620.004345634685
"PETE Plastic Containers","San Bernardino (Countywide)",5999.74709502385
"HDPE Plastic Containers","San Bernardino (Countywide)",3867.22566741635
"Miscellaneous Plastic Containers","San Bernardino (Countywide)",3185.5248898566
"Plastic Trash Bags","San Bernardino (Countywide)",13778.2172296057
"Plastic Grocery and Other Merchandise Bags","San Bernardino (Countywide)",2187.20601160851
"Non-Bag Commercial and Industrial Packaging Film","San Bernardino (Countywide)",4734.3896765877
"Film Products","San Bernardino (Countywide)",295.635027485881
"Other Film - Other","San Bernardino (Countywide)",15728.3412000621
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Bernardino (Countywide)",2052.79767254715
"Durable Plastic Items - Other","San Bernardino (Countywide)",7449.32459335623
"Remainder / Composite Plastic","San Bernardino (Countywide)",28073.1432942784
"PETE Plastic Containers","San Diego (Countywide)",14828.0480784836
"HDPE Plastic Containers","San Diego (Countywide)",9397.26361091157
"Miscellaneous Plastic Containers","San Diego (Countywide)",8585.21775400951
"Plastic Trash Bags","San Diego (Countywide)",31588.7610881782
"Plastic Grocery and Other Merchandise Bags","San Diego (Countywide)",5488.68741973529
"Non-Bag Commercial and Industrial Packaging Film","San Diego (Countywide)",9655.73381116764
"Film Products","San Diego (Countywide)",604.728212639148
"Other Film - Other","San Diego (Countywide)",36605.606500139
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Diego (Countywide)",5220.91213793469
"Durable Plastic Items - Other","San Diego (Countywide)",16941.0355579892
"Remainder / Composite Plastic","San Diego (Countywide)",68231.4919779244
"PETE Plastic Containers","San Francisco (Countywide)",7213.48292543516
"HDPE Plastic Containers","San Francisco (Countywide)",4607.35641137819
"Miscellaneous Plastic Containers","San Francisco (Countywide)",4583.80122598864
"Plastic Trash Bags","San Francisco (Countywide)",16078.2122807569
"Plastic Grocery and Other Merchandise Bags","San Francisco (Countywide)",2646.28746670954
"Non-Bag Commercial and Industrial Packaging Film","San Francisco (Countywide)",4979.01737835241
"Film Products","San Francisco (Countywide)",210.344947151811
"Other Film - Other","San Francisco (Countywide)",18289.8182690348
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Francisco (Countywide)",2832.96509279802
"Durable Plastic Items - Other","San Francisco (Countywide)",8323.47581978606
"Remainder / Composite Plastic","San Francisco (Countywide)",36484.6872263998
"PETE Plastic Containers","San Joaquin (Countywide)",1879.40596980128
"HDPE Plastic Containers","San Joaquin (Countywide)",1192.89038976306
"Miscellaneous Plastic Containers","San Joaquin (Countywide)",995.70663564459
"Plastic Trash Bags","San Joaquin (Countywide)",4274.36476199702
"Plastic Grocery and Other Merchandise Bags","San Joaquin (Countywide)",662.524097154704
"Non-Bag Commercial and Industrial Packaging Film","San Joaquin (Countywide)",1875.52036514558
"Film Products","San Joaquin (Countywide)",105.026071902443
"Other Film - Other","San Joaquin (Countywide)",5272.10750901502
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Joaquin (Countywide)",692.049961702281
"Durable Plastic Items - Other","San Joaquin (Countywide)",2307.37053276938
"Remainder / Composite Plastic","San Joaquin (Countywide)",8653.44278369937
"PETE Plastic Containers","San Luis Obispo (Countywide)",1077.77298836731
"HDPE Plastic Containers","San Luis Obispo (Countywide)",702.622233498403
"Miscellaneous Plastic Containers","San Luis Obispo (Countywide)",572.929951121187
"Plastic Trash Bags","San Luis Obispo (Countywide)",2443.40471026511
"Plastic Grocery and Other Merchandise Bags","San Luis Obispo (Countywide)",371.040942921378
"Non-Bag Commercial and Industrial Packaging Film","San Luis Obispo (Countywide)",756.365408806674
"Film Products","San Luis Obispo (Countywide)",59.7468389744887
"Other Film - Other","San Luis Obispo (Countywide)",2807.78487620958
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Luis Obispo (Countywide)",371.670234589639
"Durable Plastic Items - Other","San Luis Obispo (Countywide)",1204.17819015003
"Remainder / Composite Plastic","San Luis Obispo (Countywide)",4761.3614269644
"PETE Plastic Containers","San Mateo (Countywide)",3702.62923588032
"HDPE Plastic Containers","San Mateo (Countywide)",2481.20518777014
"Miscellaneous Plastic Containers","San Mateo (Countywide)",2382.02615184852
"Plastic Trash Bags","San Mateo (Countywide)",8594.98906042825
"Plastic Grocery and Other Merchandise Bags","San Mateo (Countywide)",1343.81737685877
"Non-Bag Commercial and Industrial Packaging Film","San Mateo (Countywide)",3276.65390293825
"Film Products","San Mateo (Countywide)",179.904436091
"Other Film - Other","San Mateo (Countywide)",10011.0959056537
"Durable Plastic Items - #2 and #5 Bulky Rigids","San Mateo (Countywide)",1478.84024241145
"Durable Plastic Items - Other","San Mateo (Countywide)",4790.40614785712
"Remainder / Composite Plastic","San Mateo (Countywide)",19779.0376090571
"PETE Plastic Containers","Santa Barbara (Countywide)",1846.11473386833
"HDPE Plastic Containers","Santa Barbara (Countywide)",1164.05408264698
"Miscellaneous Plastic Containers","Santa Barbara (Countywide)",1012.77619074369
"Plastic Trash Bags","Santa Barbara (Countywide)",4128.48484015246
"Plastic Grocery and Other Merchandise Bags","Santa Barbara (Countywide)",637.821866727999
"Non-Bag Commercial and Industrial Packaging Film","Santa Barbara (Countywide)",1315.42389721863
"Film Products","Santa Barbara (Countywide)",109.665112671439
"Other Film - Other","Santa Barbara (Countywide)",4667.56727717775
"Durable Plastic Items - #2 and #5 Bulky Rigids","Santa Barbara (Countywide)",621.283143068232
"Durable Plastic Items - Other","Santa Barbara (Countywide)",2103.98385620449
"Remainder / Composite Plastic","Santa Barbara (Countywide)",8297.72961005799
"PETE Plastic Containers","Santa Clara (Countywide)",8956.18844351416
"HDPE Plastic Containers","Santa Clara (Countywide)",5852.46421459904
"Miscellaneous Plastic Containers","Santa Clara (Countywide)",6774.6457158791
"Plastic Trash Bags","Santa Clara (Countywide)",21093.6979270909
"Plastic Grocery and Other Merchandise Bags","Santa Clara (Countywide)",3294.27434454913
"Non-Bag Commercial and Industrial Packaging Film","Santa Clara (Countywide)",7678.9512814306
"Film Products","Santa Clara (Countywide)",415.554387607134
"Other Film - Other","Santa Clara (Countywide)",24371.6730795995
"Durable Plastic Items - #2 and #5 Bulky Rigids","Santa Clara (Countywide)",3573.0566921777
"Durable Plastic Items - Other","Santa Clara (Countywide)",12679.3262727981
"Remainder / Composite Plastic","Santa Clara (Countywide)",49517.4508144098
"PETE Plastic Containers","Santa Cruz (Countywide)",955.331671254452
"HDPE Plastic Containers","Santa Cruz (Countywide)",601.388544761925
"Miscellaneous Plastic Containers","Santa Cruz (Countywide)",513.600678722519
"Plastic Trash Bags","Santa Cruz (Countywide)",2138.7617127472
"Plastic Grocery and Other Merchandise Bags","Santa Cruz (Countywide)",323.137883265014
"Non-Bag Commercial and Industrial Packaging Film","Santa Cruz (Countywide)",728.872430979318
"Film Products","Santa Cruz (Countywide)",69.9529843106853
"Other Film - Other","Santa Cruz (Countywide)",2496.79832334822
"Durable Plastic Items - #2 and #5 Bulky Rigids","Santa Cruz (Countywide)",327.948430996141
"Durable Plastic Items - Other","Santa Cruz (Countywide)",1066.08486648273
"Remainder / Composite Plastic","Santa Cruz (Countywide)",4230.21397173117
"PETE Plastic Containers","Shasta (Countywide)",616.076230785369
"HDPE Plastic Containers","Shasta (Countywide)",398.781717239719
"Miscellaneous Plastic Containers","Shasta (Countywide)",323.533683607814
"Plastic Trash Bags","Shasta (Countywide)",1355.2532689172
"Plastic Grocery and Other Merchandise Bags","Shasta (Countywide)",231.467400193946
"Non-Bag Commercial and Industrial Packaging Film","Shasta (Countywide)",372.040348809215
"Film Products","Shasta (Countywide)",31.059871428715
"Other Film - Other","Shasta (Countywide)",1516.56574625885
"Durable Plastic Items - #2 and #5 Bulky Rigids","Shasta (Countywide)",201.749311511721
"Durable Plastic Items - Other","Shasta (Countywide)",725.413859352265
"Remainder / Composite Plastic","Shasta (Countywide)",2724.47450281503
"PETE Plastic Containers","Sierra (Countywide)",2.42486452353709
"HDPE Plastic Containers","Sierra (Countywide)",1.53578740294073
"Miscellaneous Plastic Containers","Sierra (Countywide)",1.36531464464867
"Plastic Trash Bags","Sierra (Countywide)",4.28620053630875
"Plastic Grocery and Other Merchandise Bags","Sierra (Countywide)",1.16489429683376
"Non-Bag Commercial and Industrial Packaging Film","Sierra (Countywide)",1.00970190259192
"Film Products","Sierra (Countywide)",0.0441438431573511
"Other Film - Other","Sierra (Countywide)",4.63451143124838
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sierra (Countywide)",0.969018217598366
"Durable Plastic Items - Other","Sierra (Countywide)",3.31568279982576
"Remainder / Composite Plastic","Sierra (Countywide)",9.8091789246236
"PETE Plastic Containers","Siskiyou (Countywide)",137.213033978873
"HDPE Plastic Containers","Siskiyou (Countywide)",81.3457213169106
"Miscellaneous Plastic Containers","Siskiyou (Countywide)",68.8604472815805
"Plastic Trash Bags","Siskiyou (Countywide)",255.905257633529
"Plastic Grocery and Other Merchandise Bags","Siskiyou (Countywide)",52.3034818898252
"Non-Bag Commercial and Industrial Packaging Film","Siskiyou (Countywide)",73.1863462893877
"Film Products","Siskiyou (Countywide)",7.52717347378378
"Other Film - Other","Siskiyou (Countywide)",304.22150213701
"Durable Plastic Items - #2 and #5 Bulky Rigids","Siskiyou (Countywide)",41.9623461021097
"Durable Plastic Items - Other","Siskiyou (Countywide)",135.768513849629
"Remainder / Composite Plastic","Siskiyou (Countywide)",507.359224651398
"PETE Plastic Containers","Solano (Countywide)",1195.81519355355
"HDPE Plastic Containers","Solano (Countywide)",778.23465040105
"Miscellaneous Plastic Containers","Solano (Countywide)",623.803528936625
"Plastic Trash Bags","Solano (Countywide)",2673.99885171008
"Plastic Grocery and Other Merchandise Bags","Solano (Countywide)",432.45841708934
"Non-Bag Commercial and Industrial Packaging Film","Solano (Countywide)",880.718480363217
"Film Products","Solano (Countywide)",65.3731162066425
"Other Film - Other","Solano (Countywide)",3129.89268948154
"Durable Plastic Items - #2 and #5 Bulky Rigids","Solano (Countywide)",399.168367860683
"Durable Plastic Items - Other","Solano (Countywide)",1404.69355831109
"Remainder / Composite Plastic","Solano (Countywide)",5390.78080845315
"PETE Plastic Containers","Sonoma (Countywide)",1910.15908138179
"HDPE Plastic Containers","Sonoma (Countywide)",1210.06423660761
"Miscellaneous Plastic Containers","Sonoma (Countywide)",1070.26168597293
"Plastic Trash Bags","Sonoma (Countywide)",4260.68621261113
"Plastic Grocery and Other Merchandise Bags","Sonoma (Countywide)",644.832514548146
"Non-Bag Commercial and Industrial Packaging Film","Sonoma (Countywide)",1712.56337921238
"Film Products","Sonoma (Countywide)",133.418858237523
"Other Film - Other","Sonoma (Countywide)",5282.81509376018
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sonoma (Countywide)",720.966198944377
"Durable Plastic Items - Other","Sonoma (Countywide)",2112.11339127844
"Remainder / Composite Plastic","Sonoma (Countywide)",8577.67994418651
"PETE Plastic Containers","Stanislaus (Countywide)",1506.38605365837
"HDPE Plastic Containers","Stanislaus (Countywide)",973.797902670311
"Miscellaneous Plastic Containers","Stanislaus (Countywide)",818.389168273683
"Plastic Trash Bags","Stanislaus (Countywide)",3556.85156476056
"Plastic Grocery and Other Merchandise Bags","Stanislaus (Countywide)",505.407291728687
"Non-Bag Commercial and Industrial Packaging Film","Stanislaus (Countywide)",1691.30305513386
"Film Products","Stanislaus (Countywide)",90.9936962826353
"Other Film - Other","Stanislaus (Countywide)",4578.00709523479
"Durable Plastic Items - #2 and #5 Bulky Rigids","Stanislaus (Countywide)",588.374481236386
"Durable Plastic Items - Other","Stanislaus (Countywide)",1793.16760994959
"Remainder / Composite Plastic","Stanislaus (Countywide)",7034.69247991098
"PETE Plastic Containers","Sutter (Countywide)",265.403196211116
"HDPE Plastic Containers","Sutter (Countywide)",166.196640363932
"Miscellaneous Plastic Containers","Sutter (Countywide)",135.97074029547
"Plastic Trash Bags","Sutter (Countywide)",585.874924316595
"Plastic Grocery and Other Merchandise Bags","Sutter (Countywide)",98.4336362330287
"Non-Bag Commercial and Industrial Packaging Film","Sutter (Countywide)",225.387908142633
"Film Products","Sutter (Countywide)",14.6404551089264
"Other Film - Other","Sutter (Countywide)",708.600763248026
"Durable Plastic Items - #2 and #5 Bulky Rigids","Sutter (Countywide)",90.0242281825568
"Durable Plastic Items - Other","Sutter (Countywide)",326.977454170424
"Remainder / Composite Plastic","Sutter (Countywide)",1178.64640665675
"PETE Plastic Containers","Tehama (Countywide)",198.918721362805
"HDPE Plastic Containers","Tehama (Countywide)",111.304434784635
"Miscellaneous Plastic Containers","Tehama (Countywide)",99.9087812458261
"Plastic Trash Bags","Tehama (Countywide)",360.710645754012
"Plastic Grocery and Other Merchandise Bags","Tehama (Countywide)",79.1423981533143
"Non-Bag Commercial and Industrial Packaging Film","Tehama (Countywide)",129.396015223325
"Film Products","Tehama (Countywide)",9.48350393211708
"Other Film - Other","Tehama (Countywide)",442.652870219685
"Durable Plastic Items - #2 and #5 Bulky Rigids","Tehama (Countywide)",61.5740475936417
"Durable Plastic Items - Other","Tehama (Countywide)",213.567044508503
"Remainder / Composite Plastic","Tehama (Countywide)",780.528193577579
"PETE Plastic Containers","Tuolumne (Countywide)",173.747951185011
"HDPE Plastic Containers","Tuolumne (Countywide)",107.518293273066
"Miscellaneous Plastic Containers","Tuolumne (Countywide)",87.8548839460029
"Plastic Trash Bags","Tuolumne (Countywide)",388.571116164802
"Plastic Grocery and Other Merchandise Bags","Tuolumne (Countywide)",59.5448340172337
"Non-Bag Commercial and Industrial Packaging Film","Tuolumne (Countywide)",97.061213195629
"Film Products","Tuolumne (Countywide)",9.63283805668599
"Other Film - Other","Tuolumne (Countywide)",425.2273977722
"Durable Plastic Items - #2 and #5 Bulky Rigids","Tuolumne (Countywide)",52.0561185922131
"Durable Plastic Items - Other","Tuolumne (Countywide)",188.307075845823
"Remainder / Composite Plastic","Tuolumne (Countywide)",775.247628537036
"PETE Plastic Containers","Trinity (Countywide)",38.3241725958759
"HDPE Plastic Containers","Trinity (Countywide)",21.7470067749188
"Miscellaneous Plastic Containers","Trinity (Countywide)",19.2946194133827
"Plastic Trash Bags","Trinity (Countywide)",59.7492737579487
"Plastic Grocery and Other Merchandise Bags","Trinity (Countywide)",15.9122427384149
"Non-Bag Commercial and Industrial Packaging Film","Trinity (Countywide)",13.1086930399004
"Film Products","Trinity (Countywide)",1.30737976649214
"Other Film - Other","Trinity (Countywide)",72.2525143250367
"Durable Plastic Items - #2 and #5 Bulky Rigids","Trinity (Countywide)",11.4304905643666
"Durable Plastic Items - Other","Trinity (Countywide)",34.9773960826698
"Remainder / Composite Plastic","Trinity (Countywide)",126.101692429899
"PETE Plastic Containers","Tulare (Countywide)",1136.02379441607
"HDPE Plastic Containers","Tulare (Countywide)",714.907877201733
"Miscellaneous Plastic Containers","Tulare (Countywide)",574.768676869358
"Plastic Trash Bags","Tulare (Countywide)",2705.51512899377
"Plastic Grocery and Other Merchandise Bags","Tulare (Countywide)",398.475630768517
"Non-Bag Commercial and Industrial Packaging Film","Tulare (Countywide)",1271.3824967044
"Film Products","Tulare (Countywide)",85.6961116965665
"Other Film - Other","Tulare (Countywide)",3260.31378982149
"Durable Plastic Items - #2 and #5 Bulky Rigids","Tulare (Countywide)",389.194939624371
"Durable Plastic Items - Other","Tulare (Countywide)",1522.04587477857
"Remainder / Composite Plastic","Tulare (Countywide)",5318.22254485194
"PETE Plastic Containers","Ventura (Countywide)",2840.92155942947
"HDPE Plastic Containers","Ventura (Countywide)",1836.58665469161
"Miscellaneous Plastic Containers","Ventura (Countywide)",1617.48411136774
"Plastic Trash Bags","Ventura (Countywide)",6532.93044537036
"Plastic Grocery and Other Merchandise Bags","Ventura (Countywide)",1014.48288951868
"Non-Bag Commercial and Industrial Packaging Film","Ventura (Countywide)",2366.80429023144
"Film Products","Ventura (Countywide)",177.939661499749
"Other Film - Other","Ventura (Countywide)",7619.86962660929
"Durable Plastic Items - #2 and #5 Bulky Rigids","Ventura (Countywide)",990.4123180159
"Durable Plastic Items - Other","Ventura (Countywide)",3575.98284597637
"Remainder / Composite Plastic","Ventura (Countywide)",13851.6885968991
"PETE Plastic Containers","Yolo (Countywide)",696.467968180298
"HDPE Plastic Containers","Yolo (Countywide)",444.839297502943
"Miscellaneous Plastic Containers","Yolo (Countywide)",408.072674322135
"Plastic Trash Bags","Yolo (Countywide)",1486.69141763115
"Plastic Grocery and Other Merchandise Bags","Yolo (Countywide)",266.504318530161
"Non-Bag Commercial and Industrial Packaging Film","Yolo (Countywide)",708.335596343814
"Film Products","Yolo (Countywide)",43.8727288543663
"Other Film - Other","Yolo (Countywide)",1905.60648318299
"Durable Plastic Items - #2 and #5 Bulky Rigids","Yolo (Countywide)",268.580972216331
"Durable Plastic Items - Other","Yolo (Countywide)",854.191427223078
"Remainder / Composite Plastic","Yolo (Countywide)",3246.34821811473
"PETE Plastic Containers","Yuba (Countywide)",152.505270205791
"HDPE Plastic Containers","Yuba (Countywide)",92.0337056620138
"Miscellaneous Plastic Containers","Yuba (Countywide)",77.9012210606308
"Plastic Trash Bags","Yuba (Countywide)",299.955944334903
"Plastic Grocery and Other Merchandise Bags","Yuba (Countywide)",58.4836761066488
"Non-Bag Commercial and Industrial Packaging Film","Yuba (Countywide)",78.5633583507967
"Film Products","Yuba (Countywide)",7.17159051558309
"Other Film - Other","Yuba (Countywide)",334.550102716429
"Durable Plastic Items - #2 and #5 Bulky Rigids","Yuba (Countywide)",45.9572699241548
"Durable Plastic Items - Other","Yuba (Countywide)",164.146110366939
"Remainder / Composite Plastic","Yuba (Countywide)",598.03506975273
